Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2020-01-02 09:15:09,5.41,0.000,0.000,5.41,0,0,0,0,500,11,0,0,0,5.41,0,0,0,0,500,0,0,0,0,1
2020-01-02 09:15:18,5.41,0.000,0.000,5.41,0,0,0,0,511,0,0,0,0,5.41,0,0,0,0,511,235,0,0,0,1
2020-01-02 09:15:45,5.41,0.000,0.000,5.41,0,0,0,0,481,0,0,0,0,5.41,0,0,0,0,481,265,0,0,0,1
2020-01-02 09:16:48,5.41,0.000,0.000,5.41,0,0,0,0,479,0,0,0,0,5.41,0,0,0,0,479,267,0,0,0,1
2020-01-02 09:16:57,5.41,0.000,0.000,5.41,0,0,0,0,379,0,0,0,0,5.41,0,0,0,0,379,367,0,0,0,1
2020-01-02 09:17:42,5.41,0.000,0.000,5.41,0,0,0,0,382,0,0,0,0,5.41,0,0,0,0,382,364,0,0,0,1
2020-01-02 09:18:27,5.41,0.000,0.000,5.41,0,0,0,0,382,0,0,0,0,5.41,0,0,0,0,382,458,0,0,0,1
2020-01-02 09:19:12,5.41,0.000,0.000,5.41,0,0,0,0,382,0,0,0,0,5.41,0,0,0,0,382,549,0,0,0,1
2020-01-02 09:19:39,5.41,0.000,0.000,5.41,0,0,0,0,382,0,0,0,0,5.41,0,0,0,0,382,567,0,0,0,1
2020-01-02 09:20:01,5.41,0.000,0.000,5.41,0,0,0,0,382,0,0,0,0,5.41,0,0,0,0,382,612,0,0,0,1
2020-01-02 09:20:37,5.41,0.000,0.000,5.41,0,0,0,0,392,0,0,0,0,5.41,0,0,0,0,392,602,0,0,0,1
2020-01-02 09:20:46,5.41,0.000,0.000,5.41,0,0,0,0,392,0,0,0,0,5.41,0,0,0,0,392,633,0,0,0,1
2020-01-02 09:22:06,5.41,0.000,0.000,5.41,0,0,0,0,397,0,0,0,0,5.41,0,0,0,0,397,628,0,0,0,1
2020-01-02 09:22:15,5.41,0.000,0.000,5.41,0,0,0,0,397,0,0,0,0,5.41,0,0,0,0,397,678,0,0,0,1
