Time,Price,Volume,SP1,SV1,BP1,BV1,isBuy
9:30,8.8,849,8.88,9,8.8,534,0
9:31,8.89,28,8.9,50,8.89,46,1
9:32,8.9,48,8.9,12,8.89,19,1
9:33,8.89,83,8.89,126,8.85,30,1
9:34,8.82,108,8.87,20,8.82,3,0
9:35,8.83,305,8.85,16,8.83,4,0
9:36,8.88,112,8.88,247,8.86,101,1
9:37,8.87,49,8.88,169,8.87,30,1
9:38,8.87,202,8.88,169,8.87,108,0
9:39,8.87,161,8.87,338,8.86,142,1
9:40,8.85,259,8.86,149,8.85,136,0
9:41,8.86,436,8.87,410,8.86,259,0
9:42,8.85,281,8.85,2,8.84,88,0
9:43,8.86,41,8.86,408,8.85,292,1
9:44,8.84,545,8.84,134,8.83,101,0
9:45,8.8,1273,8.81,90,8.8,884,0
9:46,8.8,933,8.81,17,8.8,6,0
9:47,8.78,323,8.8,38,8.79,12,0
9:48,8.78,305,8.78,318,8.76,16,1
9:49,8.77,186,8.77,19,8.76,67,1
9:50,8.77,142,8.76,36,8.75,884,1
9:51,8.75,1357,8.75,105,8.74,56,0
9:52,8.74,248,8.75,323,8.74,195,0
9:53,8.75,195,8.75,359,8.74,139,1
9:54,8.74,262,8.75,307,8.74,56,0
9:55,8.75,549,8.76,421,8.75,226,1
9:56,8.76,953,8.76,407,8.75,252,1
9:57,8.75,104,8.76,320,8.75,336,0
9:58,8.76,490,8.76,183,8.75,80,1
9:59,8.76,281,8.76,141,8.74,552,1
10:00,8.76,357,8.76,60,8.75,99,0
10:01,8.76,181,8.76,101,8.75,283,1
10:02,8.76,188,8.76,58,8.75,251,1
10:03,8.76,156,8.76,216,8.75,358,1
10:04,8.76,470,8.76,144,8.75,264,1
10:05,8.76,278,8.76,130,8.75,80,1
10:06,8.76,167,8.76,25,8.75,108,1
10:07,8.76,463,8.77,103,8.76,50,0
10:08,8.75,460,8.75,409,8.74,369,1
10:09,8.75,119,8.75,291,8.74,369,1
10:10,8.75,363,8.75,144,8.74,355,1
10:11,8.75,275,8.75,4,8.74,276,0
10:12,8.75,168,8.76,184,8.75,41,0
10:13,8.76,25,8.76,177,8.74,287,1
10:14,8.76,19,8.76,168,8.75,110,1
10:15,8.76,45,8.76,194,8.75,127,1
10:16,8.75,211,8.75,500,8.74,548,1
10:17,8.74,302,8.75,328,8.74,422,0
10:18,8.75,394,8.76,199,8.75,49,0
10:19,8.76,462,8.77,197,8.76,52,1
10:20,8.77,154,8.77,74,8.76,419,1
10:21,8.75,541,8.76,228,8.75,2051,0
10:22,8.77,406,8.77,33,8.76,631,1
10:23,8.78,80,8.78,192,8.77,159,1
10:24,8.78,186,8.78,120,8.77,191,1
10:25,8.78,120,8.78,7,8.77,231,1
10:26,8.79,65,8.79,141,8.78,23,1
10:27,8.8,502,8.8,85,8.78,110,0
10:28,8.81,198,8.81,190,8.8,424,1
10:29,8.8,337,8.81,48,8.8,307,0
10:30,8.79,429,8.8,128,8.79,8,0
10:31,8.8,90,8.8,61,8.79,18,1
10:32,8.77,952,8.8,519,8.77,99,0
10:33,8.77,16,8.8,529,8.77,144,0
10:34,8.79,18,8.79,45,8.78,60,0
10:35,8.78,77,8.78,33,8.77,215,0
10:36,8.78,33,8.79,35,8.78,10,1
10:37,8.78,405,8.78,55,8.77,71,0
10:38,8.78,25,8.78,30,8.77,1164,1
10:39,8.77,1058,8.78,2,8.77,1168,0
10:40,8.77,171,8.77,2128,8.76,730,1
10:41,8.77,143,8.77,2122,8.76,617,1
10:42,8.77,76,8.77,2081,8.76,621,1
10:43,8.76,23,8.77,2030,8.76,618,0
10:44,8.76,500,8.77,2030,8.76,118,0
10:45,8.76,96,8.77,2009,8.76,397,0
10:46,8.75,2737,8.75,343,8.74,442,1
10:47,8.75,403,8.76,626,8.75,1150,0
10:48,8.75,521,8.76,626,8.75,708,0
10:49,8.75,656,8.77,1913,8.75,1648,0
10:50,8.75,34,8.77,1913,8.75,1919,0
10:51,8.77,2261,8.77,1747,8.76,15,1
10:52,8.77,26,8.77,1690,8.76,50,1
10:53,8.77,23,8.77,1707,8.76,166,1
10:54,8.77,93,8.77,1663,8.76,148,1
10:55,8.77,1828,8.78,1072,8.77,161,0
10:56,8.77,1003,8.78,1070,8.77,39,1
10:57,8.77,174,8.78,1006,8.77,119,0
10:58,8.77,158,8.77,121,8.76,225,1
10:59,8.78,202,8.78,961,8.76,1235,1
11:00,8.78,2687,8.8,142,8.78,378,0
11:01,8.78,840,8.8,1142,8.78,1052,1
11:02,8.8,12,8.8,1130,8.79,40,1
11:03,8.79,1424,8.79,785,8.78,9,1
11:04,8.79,398,8.79,1394,8.78,416,1
11:05,8.79,690,8.79,1204,8.78,1,1
11:06,8.79,102,8.79,1135,8.78,101,1
11:07,8.79,82,8.79,1053,8.78,147,1
11:08,8.79,11,8.79,1052,8.78,177,1
