Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2007-01-15 9:16:0,0,0,0,16.1,0,0,0,0,445,64,0,0,0,16.1,0,0,0,0,445,0,0,0,0,0
2007-01-15 9:16:10,0,0,0,16.1,0,0,0,0,445,104,0,0,0,16.1,0,0,0,0,445,0,0,0,0,0
2007-01-15 9:16:19,0,0,0,16.1,0,0,0,0,451,98,0,0,0,16.1,0,0,0,0,451,0,0,0,0,0
2007-01-15 9:16:29,0,0,0,16.1,0,0,0,0,451,113,0,0,0,16.1,0,0,0,0,451,0,0,0,0,0
2007-01-15 9:16:50,0,0,0,16.1,0,0,0,0,452,112,0,0,0,16.1,0,0,0,0,452,0,0,0,0,0
2007-01-15 9:16:59,0,0,0,16.1,0,0,0,0,453,171,0,0,0,16.1,0,0,0,0,453,0,0,0,0,0
2007-01-15 9:17:10,0,0,0,16.1,0,0,0,0,453,183,0,0,0,16.1,0,0,0,0,453,0,0,0,0,0
2007-01-15 9:17:20,0,0,0,16.1,0,0,0,0,494,152,0,0,0,16.1,0,0,0,0,494,0,0,0,0,0
2007-01-15 9:17:29,0,0,0,16.1,0,0,0,0,524,122,0,0,0,16.1,0,0,0,0,524,0,0,0,0,0
2007-01-15 9:17:40,0,0,0,16.1,0,0,0,0,524,124,0,0,0,16.1,0,0,0,0,524,0,0,0,0,0
2007-01-15 9:17:50,0,0,0,16.1,0,0,0,0,527,216,0,0,0,16.1,0,0,0,0,527,0,0,0,0,0
2007-01-15 9:17:59,0,0,0,16.1,0,0,0,0,527,214,0,0,0,16.1,0,0,0,0,527,0,0,0,0,0
2007-01-15 9:18:9,0,0,0,16.1,0,0,0,0,519,352,0,0,0,16.1,0,0,0,0,519,0,0,0,0,0
2007-01-15 9:18:19,0,0,0,16.1,0,0,0,0,519,367,0,0,0,16.1,0,0,0,0,519,0,0,0,0,0
2007-01-15 9:18:30,0,0,0,16.1,0,0,0,0,519,387,0,0,0,16.1,0,0,0,0,519,0,0,0,0,0
2007-01-15 9:18:40,0,0,0,16.1,0,0,0,0,532,376,0,0,0,16.1,0,0,0,0,532,0,0,0,0,0
2007-01-15 9:18:50,0,0,0,16.1,0,0,0,0,531,377,0,0,0,16.1,0,0,0,0,531,0,0,0,0,0
2007-01-15 9:19:0,0,0,0,16.1,0,0,0,0,888,0,0,0,0,16.1,0,0,0,0,888,643,0,0,0,0
2007-01-15 9:19:10,0,0,0,16.1,0,0,0,0,913,0,0,0,0,16.1,0,0,0,0,913,621,0,0,0,0
2007-01-15 9:19:40,0,0,0,16.1,0,0,0,0,1013,0,0,0,0,16.1,0,0,0,0,1013,521,0,0,0,0
2007-01-15 9:19:50,0,0,0,16.1,0,0,0,0,1028,0,0,0,0,16.1,0,0,0,0,1028,506,0,0,0,0
2007-01-15 9:20:0,0,0,0,16.1,0,0,0,0,1028,0,0,0,0,16.1,0,0,0,0,1028,532,0,0,0,0
2007-01-15 9:20:9,0,0,0,16.1,0,0,0,0,1028,0,0,0,0,16.1,0,0,0,0,1028,550,0,0,0,0
2007-01-15 9:20:20,0,0,0,16.1,0,0,0,0,1028,0,0,0,0,16.1,0,0,0,0,1028,1052,0,0,0,0
2007-01-15 9:20:29,0,0,0,16.1,0,0,0,0,1034,0,0,0,0,16.1,0,0,0,0,1034,1048,0,0,0,0
2007-01-15 9:20:39,0,0,0,16.1,0,0,0,0,1034,0,0,0,0,16.1,0,0,0,0,1034,1049,0,0,0,0
2007-01-15 9:20:49,0,0,0,16.1,0,0,0,0,1036,0,0,0,0,16.1,0,0,0,0,1036,1049,0,0,0,0
2007-01-15 9:21:1,0,0,0,16.1,0,0,0,0,1036,0,0,0,0,16.1,0,0,0,0,1036,1081,0,0,0,0
2007-01-15 9:21:9,0,0,0,16.1,0,0,0,0,1039,0,0,0,0,16.1,0,0,0,0,1039,1078,0,0,0,0
2007-01-15 9:21:20,0,0,0,16.1,0,0,0,0,1039,0,0,0,0,16.1,0,0,0,0,1039,1094,0,0,0,0
2007-01-15 9:21:29,0,0,0,16.1,0,0,0,0,1039,0,0,0,0,16.1,0,0,0,0,1039,1208,0,0,0,0
2007-01-15 9:21:39,0,0,0,16.1,0,0,0,0,1039,0,0,0,0,16.1,0,0,0,0,1039,1209,0,0,0,0
2007-01-15 9:21:49,0,0,0,16.1,0,0,0,0,1039,0,0,0,0,16.1,0,0,0,0,1039,1219,0,0,0,0
2007-01-15 9:22:2,0,0,0,16.1,0,0,0,0,1039,0,0,0,0,16.1,0,0,0,0,1039,1231,0,0,0,0
2007-01-15 9:22:10,0,0,0,16.1,0,0,0,0,1049,0,0,0,0,16.1,0,0,0,0,1049,1241,0,0,0,0
2007-01-15 9:22:20,0,0,0,16.1,0,0,0,0,1094,0,0,0,0,16.1,0,0,0,0,1094,1210,0,0,0,0
2007-01-15 9:22:29,0,0,0,16.1,0,0,0,0,1100,0,0,0,0,16.1,0,0,0,0,1100,1219,0,0,0,0
2007-01-15 9:22:49,0,0,0,16.13,0,0,0,0,1104,0,0,0,0,16.13,0,0,0,0,1104,440,0,0,0,0
2007-01-15 9:22:59,0,0,0,16.13,0,0,0,0,1149,0,0,0,0,16.13,0,0,0,0,1149,445,0,0,0,0
2007-01-15 9:23:10,0,0,0,16.13,0,0,0,0,1149,0,0,0,0,16.13,0,0,0,0,1149,475,0,0,0,0
2007-01-15 9:23:20,0,0,0,16.13,0,0,0,0,1195,0,0,0,0,16.13,0,0,0,0,1195,429,0,0,0,0
2007-01-15 9:23:30,0,0,0,16.13,0,0,0,0,1195,0,0,0,0,16.13,0,0,0,0,1195,452,0,0,0,0
2007-01-15 9:23:39,0,0,0,16.13,0,0,0,0,1195,0,0,0,0,16.13,0,0,0,0,1195,480,0,0,0,0
2007-01-15 9:23:50,0,0,0,16.13,0,0,0,0,1195,0,0,0,0,16.13,0,0,0,0,1195,488,0,0,0,0
2007-01-15 9:23:59,0,0,0,16.13,0,0,0,0,1195,0,0,0,0,16.13,0,0,0,0,1195,495,0,0,0,0
2007-01-15 9:24:10,0,0,0,16.13,0,0,0,0,1205,0,0,0,0,16.13,0,0,0,0,1205,603,0,0,0,0
2007-01-15 9:24:20,0,0,0,16.13,0,0,0,0,1205,0,0,0,0,16.13,0,0,0,0,1205,1486,0,0,0,0
2007-01-15 9:24:29,0,0,0,16.13,0,0,0,0,1235,0,0,0,0,16.13,0,0,0,0,1235,1465,0,0,0,0
2007-01-15 9:24:39,0,0,0,16.13,0,0,0,0,1235,0,0,0,0,16.13,0,0,0,0,1235,1487,0,0,0,0
2007-01-15 9:24:50,0,0,0,16.13,0,0,0,0,1235,0,0,0,0,16.13,0,0,0,0,1235,1545,0,0,0,0
2007-01-15 9:24:59,0,0,0,16.15,0,0,0,0,1237,0,0,0,0,16.15,0,0,0,0,1237,591,0,0,0,0
2007-01-15 9:25:9,0,0,0,16.15,0,0,0,0,1237,0,0,0,0,16.15,0,0,0,0,1237,594,0,0,0,0
2007-01-15 9:25:22,16.15,1237,1997190,16.2,16.26,16.28,16.3,16.31,105,2,50,371,3,16.15,16.14,16.13,16.12,16.11,594,90,2201,538,1011,0
2007-01-15 9:30:25,16.3,1039,1689682,16.32,16.33,16.34,16.35,16.36,2,3,19,20,5,16.3,16.28,16.26,16.25,16.22,533,5,409,547,4,0
2007-01-15 9:30:30,16.3,130,211330,16.32,16.33,16.34,16.35,16.36,2,3,19,20,5,16.3,16.28,16.26,16.25,16.22,403,5,409,587,4,0
2007-01-15 9:30:34,16.3,60,97800,16.31,16.32,16.33,16.34,16.35,2,2,3,19,20,16.3,16.28,16.26,16.25,16.22,343,5,409,587,4,0
2007-01-15 9:30:42,16.3,11,17931,16.31,16.32,16.33,16.34,16.35,1,2,3,19,20,16.3,16.28,16.26,16.25,16.22,333,5,409,591,4,0
2007-01-15 9:30:44,16.35,47,76810,16.36,16.37,16.38,16.39,16.4,5,3,56,26,69,16.35,16.3,16.28,16.26,16.25,121,363,5,409,591,0
