Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2020-01-02 09:10:00,3050.12,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02 09:25:18,3066.34,3753472.000,4234003000.000,0,0,0,0,0,7936761,0,0,0,0,0,0,0,0,0,1.086462E+07,0,0,0,0,0
2020-01-02 09:25:44,3066.34,0.000,419166300000.000,0,0,0,0,0,8852591,0,0,0,0,0,0,0,0,0,1.20505E+07,0,0,0,0,0
2020-01-02 09:30:04,3066.4,1661816.000,196400600000.000,0,0,0,0,0,7979173,0,0,0,0,0,0,0,0,0,1.088387E+07,0,0,0,0,0
2020-01-02 09:30:08,3068.9,2376265.000,264246100000.000,0,0,0,0,0,9047942,0,0,0,0,0,0,0,0,0,1.113597E+07,0,0,0,0,0
2020-01-02 09:30:11,3068.9,0.000,0.000,0,0,0,0,0,1.077093E+07,0,0,0,0,0,0,0,0,0,1.371268E+07,0,0,0,0,0
2020-01-02 09:30:13,3069.62,918887.000,92182220000.000,0,0,0,0,0,9884844,0,0,0,0,0,0,0,0,0,1.25399E+07,0,0,0,0,0
2020-01-02 09:30:15,3069.62,0.000,0.000,0,0,0,0,0,1.111622E+07,0,0,0,0,0,0,0,0,0,1.460154E+07,0,0,0,0,0
2020-01-02 09:30:18,3070.17,582479.000,64616400000.000,0,0,0,0,0,9798094,0,0,0,0,0,0,0,0,0,1.259515E+07,0,0,0,0,0
2020-01-02 09:30:23,3070.59,521267.000,56140690000.000,0,0,0,0,0,9792376,0,0,0,0,0,0,0,0,0,1.256338E+07,0,0,0,0,0
2020-01-02 09:30:28,3070.53,449769.000,47035840000.000,0,0,0,0,0,9818718,0,0,0,0,0,0,0,0,0,1.267448E+07,0,0,0,0,0
2020-01-02 09:30:34,3070.86,512779.000,50512530000.000,0,0,0,0,0,9670247,0,0,0,0,0,0,0,0,0,1.261884E+07,0,0,0,0,0
2020-01-02 09:30:38,3070.92,434212.000,49673540000.000,0,0,0,0,0,9693426,0,0,0,0,0,0,0,0,0,1.256601E+07,0,0,0,0,0
2020-01-02 09:30:43,3070.6,372704.000,38413530000.000,0,0,0,0,0,9757012,0,0,0,0,0,0,0,0,0,1.249814E+07,0,0,0,0,0
2020-01-02 09:30:49,3070.77,466895.000,50382500000.000,0,0,0,0,0,9791251,0,0,0,0,0,0,0,0,0,1.248554E+07,0,0,0,0,0
2020-01-02 09:30:53,3070.51,378503.000,42158260000.000,0,0,0,0,0,9767564,0,0,0,0,0,0,0,0,0,1.254616E+07,0,0,0,0,0
2020-01-02 09:30:58,3070.58,375698.000,42173990000.000,0,0,0,0,0,9898236,0,0,0,0,0,0,0,0,0,1.243069E+07,0,0,0,0,0
2020-01-02 09:31:03,3069.72,443714.000,47397340000.000,0,0,0,0,0,9940703,0,0,0,0,0,0,0,0,0,1.257434E+07,0,0,0,0,0
