Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2020-01-02 09:15:09,32.39,0.000,0.000,32.39,0,0,0,0,1593,35,0,0,0,32.39,0,0,0,0,1593,0,0,0,0,1
2020-01-02 09:15:18,32.39,0.000,0.000,32.39,0,0,0,0,1637,8,0,0,0,32.39,0,0,0,0,1637,0,0,0,0,1
2020-01-02 09:15:36,32.39,0.000,0.000,32.39,0,0,0,0,1658,39,0,0,0,32.39,0,0,0,0,1658,0,0,0,0,1
2020-01-02 09:15:45,32.39,0.000,0.000,32.39,0,0,0,0,1662,35,0,0,0,32.39,0,0,0,0,1662,0,0,0,0,1
2020-01-02 09:15:54,32.39,0.000,0.000,32.39,0,0,0,0,1698,0,0,0,0,32.39,0,0,0,0,1698,18,0,0,0,1
2020-01-02 09:16:03,32.4,0.000,0.000,32.4,0,0,0,0,1724,100,0,0,0,32.4,0,0,0,0,1724,0,0,0,0,1
2020-01-02 09:16:21,32.4,0.000,0.000,32.4,0,0,0,0,1753,72,0,0,0,32.4,0,0,0,0,1753,0,0,0,0,1
2020-01-02 09:16:30,32.4,0.000,0.000,32.4,0,0,0,0,1817,13,0,0,0,32.4,0,0,0,0,1817,0,0,0,0,1
2020-01-02 09:16:39,32.4,0.000,0.000,32.4,0,0,0,0,1832,0,0,0,0,32.4,0,0,0,0,1832,49,0,0,0,1
2020-01-02 09:16:48,32.4,0.000,0.000,32.4,0,0,0,0,1808,0,0,0,0,32.4,0,0,0,0,1808,220,0,0,0,1
2020-01-02 09:16:57,32.4,0.000,0.000,32.4,0,0,0,0,1798,0,0,0,0,32.4,0,0,0,0,1798,231,0,0,0,1
2020-01-02 09:17:06,32.4,0.000,0.000,32.4,0,0,0,0,1798,0,0,0,0,32.4,0,0,0,0,1798,235,0,0,0,1
2020-01-02 09:17:15,32.4,0.000,0.000,32.4,0,0,0,0,1797,0,0,0,0,32.4,0,0,0,0,1797,256,0,0,0,1
2020-01-02 09:17:24,32.4,0.000,0.000,32.4,0,0,0,0,1798,0,0,0,0,32.4,0,0,0,0,1798,323,0,0,0,1
2020-01-02 09:17:33,32.4,0.000,0.000,32.4,0,0,0,0,1800,0,0,0,0,32.4,0,0,0,0,1800,329,0,0,0,1
2020-01-02 09:17:42,32.4,0.000,0.000,32.4,0,0,0,0,1800,0,0,0,0,32.4,0,0,0,0,1800,365,0,0,0,1
2020-01-02 09:17:51,32.4,0.000,0.000,32.4,0,0,0,0,1939,0,0,0,0,32.4,0,0,0,0,1939,253,0,0,0,1
2020-01-02 09:18:00,32.4,0.000,0.000,32.4,0,0,0,0,1944,0,0,0,0,32.4,0,0,0,0,1944,278,0,0,0,1
2020-01-02 09:18:09,32.4,0.000,0.000,32.4,0,0,0,0,1952,0,0,0,0,32.4,0,0,0,0,1952,339,0,0,0,1
2020-01-02 09:18:18,32.4,0.000,0.000,32.4,0,0,0,0,1950,0,0,0,0,32.4,0,0,0,0,1950,372,0,0,0,1
2020-01-02 09:18:27,32.4,0.000,0.000,32.4,0,0,0,0,1950,0,0,0,0,32.4,0,0,0,0,1950,494,0,0,0,1
2020-01-02 09:18:36,32.4,0.000,0.000,32.4,0,0,0,0,1951,0,0,0,0,32.4,0,0,0,0,1951,501,0,0,0,1
2020-01-02 09:18:45,32.41,0.000,0.000,32.41,0,0,0,0,1954,2,0,0,0,32.41,0,0,0,0,1954,0,0,0,0,1
2020-01-02 09:18:54,32.4,0.000,0.000,32.4,0,0,0,0,1961,0,0,0,0,32.4,0,0,0,0,1961,889,0,0,0,0
2020-01-02 09:19:03,32.4,0.000,0.000,32.4,0,0,0,0,1979,0,0,0,0,32.4,0,0,0,0,1979,893,0,0,0,1
2020-01-02 09:19:12,32.43,0.000,0.000,32.43,0,0,0,0,1795,0,0,0,0,32.43,0,0,0,0,1795,37,0,0,0,1
2020-01-02 09:19:21,32.45,0.000,0.000,32.45,0,0,0,0,1811,229,0,0,0,32.45,0,0,0,0,1811,0,0,0,0,1
2020-01-02 09:19:30,32.45,0.000,0.000,32.45,0,0,0,0,1816,239,0,0,0,32.45,0,0,0,0,1816,0,0,0,0,1
2020-01-02 09:19:39,32.45,0.000,0.000,32.45,0,0,0,0,1839,216,0,0,0,32.45,0,0,0,0,1839,0,0,0,0,1
2020-01-02 09:19:48,32.45,0.000,0.000,32.45,0,0,0,0,1852,218,0,0,0,32.45,0,0,0,0,1852,0,0,0,0,1
2020-01-02 09:19:57,32.45,0.000,0.000,32.45,0,0,0,0,1930,157,0,0,0,32.45,0,0,0,0,1930,0,0,0,0,1
2020-01-02 09:20:01,32.45,0.000,0.000,32.45,0,0,0,0,1933,154,0,0,0,32.45,0,0,0,0,1933,0,0,0,0,1
2020-01-02 09:20:09,32.45,0.000,0.000,32.45,0,0,0,0,2078,54,0,0,0,32.45,0,0,0,0,2078,0,0,0,0,1
2020-01-02 09:20:19,32.45,0.000,0.000,32.45,0,0,0,0,2134,0,0,0,0,32.45,0,0,0,0,2134,23,0,0,0,1
2020-01-02 09:20:28,32.45,0.000,0.000,32.45,0,0,0,0,2165,0,0,0,0,32.45,0,0,0,0,2165,196,0,0,0,1
2020-01-02 09:20:37,32.45,0.000,0.000,32.45,0,0,0,0,2202,0,0,0,0,32.45,0,0,0,0,2202,231,0,0,0,1
2020-01-02 09:20:46,32.45,0.000,0.000,32.45,0,0,0,0,2207,0,0,0,0,32.45,0,0,0,0,2207,349,0,0,0,1
2020-01-02 09:20:54,32.45,0.000,0.000,32.45,0,0,0,0,2309,0,0,0,0,32.45,0,0,0,0,2309,346,0,0,0,1
2020-01-02 09:21:03,32.45,0.000,0.000,32.45,0,0,0,0,2309,0,0,0,0,32.45,0,0,0,0,2309,380,0,0,0,1
2020-01-02 09:21:12,32.45,0.000,0.000,32.45,0,0,0,0,2356,0,0,0,0,32.45,0,0,0,0,2356,415,0,0,0,1
2020-01-02 09:21:22,32.75,0.000,0.000,32.75,0,0,0,0,4676,25,0,0,0,32.75,0,0,0,0,4676,0,0,0,0,1
2020-01-02 09:21:31,32.75,0.000,0.000,32.75,0,0,0,0,4923,134,0,0,0,32.75,0,0,0,0,4923,0,0,0,0,1
2020-01-02 09:21:39,32.75,0.000,0.000,32.75,0,0,0,0,4965,118,0,0,0,32.75,0,0,0,0,4965,0,0,0,0,1
2020-01-02 09:21:48,32.78,0.000,0.000,32.78,0,0,0,0,5203,27,0,0,0,32.78,0,0,0,0,5203,0,0,0,0,1
2020-01-02 09:21:57,32.78,0.000,0.000,32.78,0,0,0,0,5246,0,0,0,0,32.78,0,0,0,0,5246,114,0,0,0,1
2020-01-02 09:22:06,32.79,0.000,0.000,32.79,0,0,0,0,5286,89,0,0,0,32.79,0,0,0,0,5286,0,0,0,0,1
2020-01-02 09:22:15,32.79,0.000,0.000,32.79,0,0,0,0,5487,0,0,0,0,32.79,0,0,0,0,5487,2,0,0,0,1
2020-01-02 09:22:24,32.79,0.000,0.000,32.79,0,0,0,0,5542,0,0,0,0,32.79,0,0,0,0,5542,323,0,0,0,1
2020-01-02 09:22:33,32.75,0.000,0.000,32.75,0,0,0,0,6402,0,0,0,0,32.75,0,0,0,0,6402,4,0,0,0,0
2020-01-02 09:22:42,32.77,0.000,0.000,32.77,0,0,0,0,6488,20,0,0,0,32.77,0,0,0,0,6488,0,0,0,0,1
2020-01-02 09:22:51,32.78,0.000,0.000,32.78,0,0,0,0,6681,0,0,0,0,32.78,0,0,0,0,6681,217,0,0,0,1
