Time,Price,Volume,SP1,SV1,BP1,BV1,isBuy
09:15,3.11,0,3.11,22,3.11,22,1
09:16,3.11,0,3.11,57,3.11,57,1
09:17,3.11,0,3.11,106,3.11,106,1
09:18,3.11,0,3.11,156,3.11,156,1
09:19,3.11,0,3.11,181,3.11,181,1
09:20,3.11,0,3.11,207,3.11,207,1
09:21,3.11,0,3.11,668,3.11,668,1
09:22,3.11,0,3.11,668,3.11,668,1
09:23,3.11,0,3.11,693,3.11,693,1
09:24,3.11,0,3.11,694,3.11,694,1
09:25,3.11,694,3.12,437,3.11,1092,1
09:26,3.11,694,3.12,437,3.11,1092,1
09:27,3.11,694,3.12,437,3.11,1092,1
09:28,3.11,694,3.12,437,3.11,1092,1
09:29,3.11,694,3.12,437,3.11,1092,1
09:30,3.13,2280,3.14,170,3.13,2529,0
09:31,3.14,1248,3.15,1494,3.14,34,1
09:32,3.14,502,3.14,1401,3.13,12465,1
09:33,3.14,2108,3.15,1657,3.14,1269,0
09:34,3.14,457,3.15,2225,3.14,1266,0
09:35,3.14,418,3.15,2631,3.14,1633,0
09:36,3.14,2253,3.15,2572,3.14,1754,0
09:37,3.15,1398,3.15,2876,3.14,1369,1
09:38,3.14,1321,3.15,3328,3.14,319,0
09:39,3.13,674,3.14,167,3.13,12437,0
09:40,3.14,453,3.14,1463,3.13,12499,1
09:41,3.13,90,3.14,1735,3.13,12508,0
09:42,3.14,334,3.14,1839,3.13,12441,1
09:43,3.14,115,3.14,2032,3.13,12383,1
09:44,3.14,226,3.14,2384,3.13,12303,1
09:45,3.14,235,3.14,3390,3.13,12294,1
09:46,3.13,172,3.14,3669,3.13,12316,0
09:47,3.13,72,3.14,3900,3.13,12919,0
09:48,3.14,392,3.14,4819,3.13,12713,1
09:49,3.14,181,3.14,5368,3.13,12667,1
09:50,3.14,199,3.14,5222,3.13,13130,1
09:51,3.13,323,3.14,5270,3.13,12737,0
09:52,3.13,749,3.14,5542,3.13,12108,0
09:53,3.14,139,3.14,6041,3.13,12246,1
09:54,3.14,1600,3.14,5860,3.13,11016,1
09:55,3.13,991,3.14,6796,3.13,10244,0
09:56,3.13,281,3.14,7299,3.13,10285,0
09:57,3.13,971,3.14,7201,3.13,9659,0
09:58,3.13,1470,3.14,6311,3.13,8907,0
09:59,3.13,465,3.14,6939,3.13,8535,0
10:00,3.13,449,3.14,7275,3.13,8299,0
10:01,3.13,320,3.14,7047,3.13,8055,0
10:02,3.13,605,3.14,6927,3.13,7687,0
10:03,3.13,705,3.14,7257,3.13,7069,0
10:04,3.13,180,3.14,7235,3.13,7023,0
10:05,3.14,327,3.14,7328,3.13,7026,1
10:06,3.13,922,3.14,7580,3.13,6145,0
10:07,3.14,234,3.14,7576,3.13,7657,1
10:08,3.14,154,3.14,7723,3.13,6367,1
10:09,3.13,135,3.14,7664,3.13,6197,0
10:10,3.14,138,3.14,7873,3.13,6876,1
10:11,3.14,81,3.14,8515,3.13,6799,1
10:12,3.14,281,3.14,9602,3.13,6713,1
10:13,3.13,283,3.14,9802,3.13,7097,0
10:14,3.13,188,3.14,12486,3.13,7491,0
10:15,3.13,111,3.14,12679,3.13,7368,0
10:16,3.13,279,3.14,12681,3.13,6687,0
10:17,3.13,3362,3.14,10076,3.13,3984,0
10:18,3.13,833,3.14,10461,3.13,5070,0
10:19,3.14,3258,3.13,60,3.12,1141,1
10:20,3.13,1348,3.14,9783,3.13,897,0
10:21,3.14,655,3.14,9506,3.13,623,1
10:22,3.13,685,3.14,9333,3.13,405,0
10:23,3.14,149,3.14,9380,3.13,1319,1
10:24,3.13,425,3.14,8996,3.13,1586,0
10:25,3.13,135,3.14,9254,3.13,2113,0
10:26,3.14,71,3.14,9246,3.13,3048,1
10:27,3.14,144,3.14,9227,3.13,3074,1
10:28,3.13,579,3.14,8919,3.13,3064,0
10:29,3.13,1693,3.14,7771,3.13,2252,0
10:30,3.13,122,3.14,7728,3.13,2295,0
10:31,3.13,109,3.14,7676,3.13,2550,0
10:32,3.14,49,3.14,7720,3.13,2716,1
10:33,3.13,41,3.14,7735,3.13,2704,0
10:34,3.14,284,3.14,7631,3.13,3097,1
10:35,3.14,106,3.14,7562,3.13,3808,1
10:36,3.13,264,3.14,7329,3.13,4277,0
10:37,3.13,31,3.14,7479,3.13,4900,0
10:38,3.13,311,3.14,7507,3.13,5257,0
10:39,3.13,218,3.14,7409,3.13,5498,0
10:40,3.13,1382,3.14,5999,3.13,5142,0
10:41,3.14,278,3.14,5843,3.13,5699,1
10:42,3.14,2390,3.14,3531,3.13,5699,1
10:43,3.14,2501,3.14,1020,3.13,5745,1
10:44,3.14,1345,3.15,7315,3.14,956,0
10:45,3.14,68,3.15,7256,3.14,830,0
10:46,3.15,47,3.15,7378,3.14,1393,1
10:47,3.14,1040,3.15,7397,3.14,347,0
10:48,3.14,520,3.14,130,3.13,4451,0
10:49,3.14,3,3.14,315,3.13,4737,1
10:50,3.13,244,3.14,506,3.13,4938,0
10:51,3.14,1001,3.15,8251,3.14,9,0
10:52,3.14,61,3.14,34,3.13,4402,0
10:53,3.13,296,3.14,252,3.13,4304,0
10:54,3.14,4,3.14,378,3.13,3824,1
10:55,3.13,9,3.14,1417,3.13,3358,0
10:56,3.14,18,3.14,1567,3.13,3564,1
10:57,3.14,8,3.14,1902,3.13,4599,1
10:58,3.14,94,3.14,2082,3.13,4323,1
10:59,3.14,504,3.14,1733,3.13,4228,1
11:00,3.14,507,3.14,1597,3.13,4253,1
11:01,3.14,2055,3.14,30,3.13,4410,1
11:02,3.14,162,3.14,45,3.13,4414,0
11:03,3.14,77,3.15,9356,3.14,15,1
11:04,3.14,183,3.15,9206,3.14,32,0
11:05,3.15,58,3.15,9504,3.14,417,1
11:06,3.14,405,3.15,9699,3.14,956,0
11:07,3.14,220,3.15,9617,3.14,798,0
11:08,3.14,6,3.15,9707,3.14,978,0
11:09,3.14,113,3.15,9821,3.14,885,0
11:10,3.14,44,3.15,9903,3.14,879,0
11:11,3.14,199,3.15,10713,3.14,802,0
11:12,3.14,75,3.15,10719,3.14,757,0
11:13,3.14,403,3.15,10689,3.14,374,0
11:14,3.14,67,3.15,10784,3.14,368,0
11:15,3.14,140,3.15,10566,3.14,228,0
11:16,3.14,20,3.15,10463,3.14,218,0
11:17,3.14,28,3.15,10844,3.14,2340,0
11:18,3.14,190,3.15,10795,3.14,3456,0
11:19,3.14,180,3.15,10740,3.14,3426,0
11:20,3.15,1502,3.15,10613,3.14,3105,1
11:21,3.15,153,3.15,10679,3.14,3303,1
11:22,3.14,20,3.15,10735,3.14,3390,0
11:23,3.14,419,3.15,10488,3.14,3403,0
11:24,3.15,20,3.15,10490,3.14,3506,1
11:25,3.14,224,3.15,10496,3.14,3611,0
11:26,3.14,315,3.15,10280,3.14,3404,0
11:27,3.14,200,3.15,10441,3.14,2915,0
11:28,3.14,372,3.15,10400,3.14,2036,0
11:29,3.14,102,3.15,10393,3.14,1926,0
13:00,3.15,974,3.15,9773,3.14,1730,1
13:01,3.15,21,3.15,9917,3.14,2008,1
13:02,3.15,151,3.15,9816,3.14,2428,1
13:03,3.15,8,3.15,9830,3.14,2525,1
13:04,3.14,78,3.15,10405,3.14,2969,0
13:05,3.15,70,3.15,10425,3.14,3042,1
13:06,3.14,799,3.15,9639,3.14,2992,0
13:07,3.15,181,3.15,9724,3.14,3093,1
13:08,3.15,438,3.15,9287,3.14,2761,1
13:09,3.15,2,3.15,9346,3.14,2780,1
13:10,3.15,44,3.15,9347,3.14,2869,1
13:11,3.14,169,3.15,9414,3.14,2770,0
13:12,3.14,28,3.15,9609,3.14,2821,0
13:13,3.14,396,3.15,9613,3.14,2626,0
13:14,3.15,59,3.15,9778,3.14,2354,1
13:15,3.15,15,3.15,9818,3.14,2349,1
13:16,3.15,826,3.15,9421,3.14,2063,1
13:17,3.15,146,3.15,9648,3.14,2703,1
13:18,3.15,41,3.15,9882,3.14,2812,1
13:19,3.14,53,3.15,9985,3.14,2773,0
13:20,3.15,19,3.15,10488,3.14,2931,1
13:21,3.15,1139,3.15,10839,3.14,1543,1
13:22,3.14,86,3.15,11412,3.14,1550,0
13:23,3.15,36,3.15,11479,3.14,2248,1
13:24,3.15,239,3.15,11757,3.14,1702,1
13:25,3.14,1088,3.15,10813,3.14,1995,0
13:26,3.15,237,3.15,10512,3.14,2615,1
13:27,3.15,457,3.15,10419,3.14,2201,1
13:28,3.15,279,3.15,10115,3.14,2475,1
13:29,3.13,6668,3.13,2674,3.12,1587,1
13:30,3.13,326,3.13,2621,3.12,2753,1
13:31,3.12,39,3.13,2627,3.12,2706,0
13:32,3.13,241,3.13,2563,3.12,2560,1
13:33,3.13,63,3.13,2554,3.12,3019,1
13:34,3.13,392,3.13,2531,3.12,2668,1
13:35,3.13,497,3.13,2049,3.12,3008,1
13:36,3.13,197,3.13,1815,3.12,3079,1
13:37,3.13,379,3.13,1456,3.12,3200,1
13:38,3.12,45,3.13,1440,3.12,3229,0
13:39,3.13,647,3.13,893,3.12,3324,1
13:40,3.13,858,3.13,115,3.12,3645,1
13:41,3.13,203,3.14,2136,3.13,43,1
13:42,3.13,30,3.14,2206,3.13,73,0
13:43,3.13,40,3.14,2175,3.13,195,0
13:44,3.13,8,3.14,2272,3.13,1174,0
13:45,3.14,17,3.14,2460,3.13,1707,1
13:46,3.14,16,3.14,2267,3.13,1654,1
13:47,3.13,3,3.14,2376,3.13,1852,0
13:48,3.13,163,3.14,2788,3.13,1815,0
13:49,3.14,335,3.14,3307,3.13,2344,1
13:50,3.14,123,3.14,3277,3.13,2246,1
13:51,3.13,53,3.14,3454,3.13,2223,0
13:52,3.13,320,3.14,3154,3.13,2004,0
13:53,3.13,81,3.14,3508,3.13,2970,0
13:54,3.13,221,3.14,3583,3.13,3712,0
13:55,3.13,50,3.14,3694,3.13,3793,0
13:56,3.14,46,3.14,3995,3.13,3840,1
13:57,3.14,121,3.14,3934,3.13,3880,1
13:58,3.14,6,3.14,4110,3.13,3784,1
13:59,3.13,153,3.14,4084,3.13,3715,0
14:00,3.14,3,3.14,4081,3.13,3776,1
14:01,3.14,11,3.14,4070,3.13,3816,1
14:02,3.13,202,3.14,3995,3.13,3330,0
14:03,3.13,92,3.14,4128,3.13,4049,0
14:04,3.14,351,3.14,4365,3.13,3935,1
14:05,3.13,19,3.14,4453,3.13,4019,0
14:06,3.14,281,3.14,4393,3.13,4286,1
14:07,3.14,128,3.14,4445,3.13,4339,1
14:08,3.14,255,3.14,4190,3.13,4385,1
14:09,3.14,4,3.14,4292,3.13,4511,1
14:10,3.13,47,3.14,4277,3.13,4434,0
14:11,3.13,85,3.14,4483,3.13,4397,0
14:12,3.13,153,3.14,4525,3.13,4348,0
14:13,3.13,243,3.14,4642,3.13,4462,0
14:14,3.14,866,3.14,4043,3.13,3390,1
14:15,3.14,529,3.14,3889,3.13,3175,1
14:16,3.13,42,3.14,4172,3.13,3253,0
14:17,3.13,31,3.14,4267,3.13,3311,0
14:18,3.13,431,3.14,4127,3.13,3469,0
14:19,3.14,20,3.14,4172,3.13,3442,1
