Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2020-01-02 09:15:04,25,0.000,0.000,25,0,0,0,0,2,0,0,0,0,25,0,0,0,0,2,7,0,0,0,1
2020-01-02 09:15:07,25,0.000,0.000,25,0,0,0,0,9,9,0,0,0,25,0,0,0,0,9,0,0,0,0,1
2020-01-02 09:15:50,25,0.000,0.000,25,0,0,0,0,10,8,0,0,0,25,0,0,0,0,10,0,0,0,0,1
2020-01-02 09:18:37,25,0.000,0.000,25,0,0,0,0,18,0,0,0,0,25,0,0,0,0,18,92,0,0,0,1
2020-01-02 09:18:58,25,0.000,0.000,25,0,0,0,0,105,0,0,0,0,25,0,0,0,0,105,5,0,0,0,1
2020-01-02 09:19:22,25,0.000,0.000,25,0,0,0,0,105,0,0,0,0,25,0,0,0,0,105,8,0,0,0,1
2020-01-02 09:19:34,25,0.000,0.000,25,0,0,0,0,105,0,0,0,0,25,0,0,0,0,105,10,0,0,0,1
2020-01-02 09:19:49,25,0.000,0.000,25,0,0,0,0,105,0,0,0,0,25,0,0,0,0,105,18,0,0,0,1
2020-01-02 09:19:51,25,0.000,0.000,25,0,0,0,0,105,0,0,0,0,25,0,0,0,0,105,18,0,0,0,1
2020-01-02 09:20:38,25,0.000,0.000,25,0,0,0,0,112,0,0,0,0,25,0,0,0,0,112,11,0,0,0,1
2020-01-02 09:20:50,25,0.000,0.000,25,0,0,0,0,115,0,0,0,0,25,0,0,0,0,115,8,0,0,0,1
2020-01-02 09:21:15,24.8,0.000,0.000,24.8,0,0,0,0,193,19,0,0,0,24.8,0,0,0,0,193,0,0,0,0,0
2020-01-02 09:21:32,24.8,0.000,0.000,24.8,0,0,0,0,193,19,0,0,0,24.8,0,0,0,0,193,0,0,0,0,1
2020-01-02 09:21:41,24.8,0.000,0.000,24.8,0,0,0,0,193,27,0,0,0,24.8,0,0,0,0,193,0,0,0,0,1
2020-01-02 09:21:52,24.8,0.000,0.000,24.8,0,0,0,0,193,37,0,0,0,24.8,0,0,0,0,193,0,0,0,0,1
2020-01-02 09:21:54,24.8,0.000,0.000,24.8,0,0,0,0,193,37,0,0,0,24.8,0,0,0,0,193,0,0,0,0,1
2020-01-02 09:22:34,24.8,0.000,0.000,24.8,0,0,0,0,230,0,0,0,0,24.8,0,0,0,0,230,15,0,0,0,1
2020-01-02 09:22:36,24.8,0.000,0.000,24.8,0,0,0,0,230,0,0,0,0,24.8,0,0,0,0,230,15,0,0,0,1
2020-01-02 09:23:01,24.8,0.000,0.000,24.8,0,0,0,0,230,0,0,0,0,24.8,0,0,0,0,230,17,0,0,0,1
2020-01-02 09:23:03,24.8,0.000,0.000,24.8,0,0,0,0,230,0,0,0,0,24.8,0,0,0,0,230,17,0,0,0,1
2020-01-02 09:23:25,24.8,0.000,0.000,24.8,0,0,0,0,233,0,0,0,0,24.8,0,0,0,0,233,14,0,0,0,1
2020-01-02 09:23:27,24.8,0.000,0.000,24.8,0,0,0,0,233,0,0,0,0,24.8,0,0,0,0,233,14,0,0,0,1
2020-01-02 09:23:55,24.8,0.000,0.000,24.8,0,0,0,0,233,0,0,0,0,24.8,0,0,0,0,233,31,0,0,0,1
2020-01-02 09:23:57,24.8,0.000,0.000,24.8,0,0,0,0,233,0,0,0,0,24.8,0,0,0,0,233,31,0,0,0,1
2020-01-02 09:24:01,24.8,0.000,0.000,24.8,0,0,0,0,241,0,0,0,0,24.8,0,0,0,0,241,23,0,0,0,1
2020-01-02 09:24:03,24.8,0.000,0.000,24.8,0,0,0,0,241,0,0,0,0,24.8,0,0,0,0,241,23,0,0,0,1
2020-01-02 09:24:07,24.8,0.000,0.000,24.8,0,0,0,0,242,0,0,0,0,24.8,0,0,0,0,242,22,0,0,0,1
2020-01-02 09:24:09,24.8,0.000,0.000,24.8,0,0,0,0,242,0,0,0,0,24.8,0,0,0,0,242,22,0,0,0,1
2020-01-02 09:24:11,24.8,0.000,0.000,24.8,0,0,0,0,246,0,0,0,0,24.8,0,0,0,0,246,28,0,0,0,1
2020-01-02 09:24:26,24.81,0.000,0.000,24.81,0,0,0,0,250,0,0,0,0,24.81,0,0,0,0,250,3,0,0,0,1
2020-01-02 09:24:35,24.81,0.000,0.000,24.81,0,0,0,0,250,0,0,0,0,24.81,0,0,0,0,250,12,0,0,0,1
2020-01-02 09:24:38,24.81,0.000,0.000,24.81,0,0,0,0,250,0,0,0,0,24.81,0,0,0,0,250,22,0,0,0,1
2020-01-02 09:24:41,24.82,0.000,0.000,24.82,0,0,0,0,258,0,0,0,0,24.82,0,0,0,0,258,5,0,0,0,1
2020-01-02 09:24:44,24.82,0.000,0.000,24.82,0,0,0,0,258,0,0,0,0,24.82,0,0,0,0,258,7,0,0,0,1
2020-01-02 09:24:47,24.81,0.000,0.000,24.81,0,0,0,0,271,0,0,0,0,24.81,0,0,0,0,271,63,0,0,0,0
2020-01-02 09:24:50,24.82,0.000,0.000,24.82,0,0,0,0,271,0,0,0,0,24.82,0,0,0,0,271,74,0,0,0,1
2020-01-02 09:24:56,24.82,0.000,0.000,24.82,0,0,0,0,321,0,0,0,0,24.82,0,0,0,0,321,33,0,0,0,1
2020-01-02 09:24:59,24.94,0.000,0.000,24.94,0,0,0,0,339,0,0,0,0,24.94,0,0,0,0,339,27,0,0,0,1
2020-01-02 09:25:02,24.94,339.000,845466.000,24.97,25,25.03,25.05,25.1,4,106,4,4,5,24.94,24.93,24.83,24.82,24.81,89,3,89,90,69,1
2020-01-02 09:25:04,24.94,0.000,0.000,24.97,25,25.03,25.05,25.1,4,106,4,4,5,24.94,24.93,24.83,24.82,24.81,89,3,89,90,69,0
2020-01-02 09:30:03,25,124.000,309962.000,25.03,25.05,25.1,25.15,25.19,4,4,5,17,5,25,24.97,24.96,24.94,24.93,121,5,90,58,3,1
2020-01-02 09:30:04,24.99,540.000,1345604.000,25.05,25.1,25.15,25.19,25.2,3,5,17,5,7,24.99,24.97,24.81,24.8,24.78,19,13,53,77,9,0
