Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2020-01-02 09:15:12,35.52,0.000,0.000,35.52,0,0,0,0,5,0,0,0,0,35.52,0,0,0,0,5,2,0,0,0,1
2020-01-02 09:15:39,35.52,0.000,0.000,35.52,0,0,0,0,7,8,0,0,0,35.52,0,0,0,0,7,0,0,0,0,1
2020-01-02 09:16:15,35.52,0.000,0.000,35.52,0,0,0,0,5,0,0,0,0,35.52,0,0,0,0,5,2,0,0,0,1
2020-01-02 09:16:24,35.52,0.000,0.000,35.52,0,0,0,0,6,0,0,0,0,35.52,0,0,0,0,6,1,0,0,0,1
2020-01-02 09:17:54,35.51,0.000,0.000,35.51,0,0,0,0,7,86,0,0,0,35.51,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:18:12,35.5,0.000,0.000,35.5,0,0,0,0,7,4,0,0,0,35.5,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:18:15,35.5,0.000,0.000,35.5,0,0,0,0,7,4,0,0,0,35.5,0,0,0,0,7,0,0,0,0,1
2020-01-02 09:18:21,35.5,0.000,0.000,35.5,0,0,0,0,7,9,0,0,0,35.5,0,0,0,0,7,0,0,0,0,1
2020-01-02 09:18:48,35.45,0.000,0.000,35.45,0,0,0,0,7,0,0,0,0,35.45,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:19:16,35.4,0.000,0.000,35.4,0,0,0,0,7,19,0,0,0,35.4,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:19:42,35.4,0.000,0.000,35.4,0,0,0,0,7,20,0,0,0,35.4,0,0,0,0,7,0,0,0,0,1
2020-01-02 09:19:52,35.35,0.000,0.000,35.35,0,0,0,0,7,2,0,0,0,35.35,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:21:07,35.1,0.000,0.000,35.1,0,0,0,0,7,3,0,0,0,35.1,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:23:03,35.06,0.000,0.000,35.06,0,0,0,0,7,0,0,0,0,35.06,0,0,0,0,7,0,0,0,0,0
2020-01-02 09:23:40,35.06,0.000,0.000,35.06,0,0,0,0,7,5,0,0,0,35.06,0,0,0,0,7,0,0,0,0,1
2020-01-02 09:23:58,34.91,0.000,0.000,34.91,0,0,0,0,9,0,0,0,0,34.91,0,0,0,0,9,0,0,0,0,0
2020-01-02 09:24:06,35.01,0.000,0.000,35.01,0,0,0,0,9,0,0,0,0,35.01,0,0,0,0,9,0,0,0,0,1
2020-01-02 09:24:34,35.02,0.000,0.000,35.02,0,0,0,0,9,0,0,0,0,35.02,0,0,0,0,9,0,0,0,0,1
2020-01-02 09:24:42,35.01,0.000,0.000,35.01,0,0,0,0,11,2,0,0,0,35.01,0,0,0,0,11,0,0,0,0,0
2020-01-02 09:24:52,35,0.000,0.000,35,0,0,0,0,13,0,0,0,0,35,0,0,0,0,13,0,0,0,0,0
2020-01-02 09:25:01,34.91,0.000,0.000,34.91,0,0,0,0,13,3,0,0,0,34.91,0,0,0,0,13,0,0,0,0,0
2020-01-02 09:25:05,34.91,13.000,45383.000,34.91,34.98,34.99,35,35.01,3,3,9,3,4,34.61,34.52,34.51,34.5,34.42,3,3,4,1,5,1
2020-01-02 09:25:07,34.91,0.000,0.000,34.91,34.98,34.99,35,35.01,3,3,9,3,4,34.61,34.52,34.51,34.5,34.42,3,3,4,1,5,1
2020-01-02 09:30:04,34.91,0.000,0.000,34.91,34.97,34.98,34.99,35,3,1,3,9,2,34.61,34.52,34.51,34.5,34.42,3,3,4,1,5,1
2020-01-02 09:30:07,34.91,0.000,0.000,34.91,34.97,34.98,34.99,35,3,1,3,9,2,34.61,34.52,34.51,34.5,34.42,3,3,4,1,5,1
2020-01-02 09:30:07,34.91,2.000,6982.000,34.9,34.91,34.97,34.98,34.99,1,4,8,3,9,34.66,34.65,34.63,34.62,34.61,10,3,3,12,20,1
2020-01-02 09:30:10,34.92,9.000,31422.000,34.97,34.98,34.99,35,35.01,8,3,9,2,5,34.92,34.86,34.84,34.7,34.68,1,15,143,6,20,1
2020-01-02 09:30:13,34.86,5.000,17436.000,34.97,34.98,34.99,35,35.01,8,3,9,2,5,34.9,34.86,34.84,34.7,34.68,1,11,143,6,20,0
2020-01-02 09:30:16,34.86,0.000,0.000,34.97,34.98,34.99,35,35.01,8,3,9,2,5,34.9,34.86,34.84,34.7,34.68,1,11,143,6,20,0
