Time,Price,Volume,SP1,SV1,BP1,BV1,isBuy
09:10,3050.12,0,0,0,0,0,0
09:11,3050.12,0,0,0,0,0,0
09:12,3050.12,0,0,0,0,0,0
09:13,3050.12,0,0,0,0,0,0
09:14,3050.12,0,0,0,0,0,0
09:15,3050.12,0,0,0,0,0,0
09:16,3050.12,0,0,0,0,0,0
09:17,3050.12,0,0,0,0,0,0
09:18,3050.12,0,0,0,0,0,0
09:19,3050.12,0,0,0,0,0,0
09:20,3050.12,0,0,0,0,0,0
09:21,3050.12,0,0,0,0,0,0
09:22,3050.12,0,0,0,0,0,0
09:23,3050.12,0,0,0,0,0,0
09:24,3050.12,0,0,0,0,0,0
09:25,3066.34,3753472,0,8852591,0,12050500,0
09:26,3066.34,3753472,0,8852591,0,12050500,0
09:27,3066.34,3753472,0,8852591,0,12050500,0
09:28,3066.34,3753472,0,8852591,0,12050500,0
09:29,3066.34,3753472,0,8852591,0,12050500,0
09:30,3070.58,9051274,0,9898236,0,12430690,0
09:31,3070.04,4710918,0,10228550,0,12743860,0
09:32,3072.9,4341372,0,10631760,0,12475160,0
09:33,3073.31,4133120,0,10717750,0,12710440,0
09:34,3072.04,3601594,0,11160170,0,12972570,0
09:35,3070.6,3325678,0,11409760,0,13198520,0
09:36,3074.12,3592320,0,11752360,0,13013450,0
09:37,3076.03,3164288,0,11813130,0,13257460,0
09:38,3075.44,2749952,0,12230050,0,13901130,0
09:39,3075.97,2750404,0,12484290,0,14243480,0
09:40,3075.2,2672312,0,12696250,0,14362970,0
09:41,3074.95,2430128,0,12881360,0,14494470,0
09:42,3074.33,2457512,0,13160900,0,14546250,0
09:43,3073.42,2444260,0,13227520,0,14834830,0
09:44,3071.12,2383364,0,13528320,0,14730640,0
09:45,3070.48,2276944,0,13930840,0,14684880,0
09:46,3070.61,2000680,0,14151470,0,14902060,0
09:47,3072.06,1894124,0,14531970,0,14867510,0
09:48,3072.36,1769156,0,14504000,0,15057600,0
09:49,3072.73,1719920,0,14742860,0,14925290,0
09:50,3074.15,1777832,0,14837580,0,15254540,0
09:51,3074.49,1793400,0,15054970,0,15414960,0
09:52,3075.94,2160872,0,15183300,0,15692430,0
09:53,3078.49,2049160,0,15225670,0,15741400,0
09:54,3081.87,2581616,0,15243890,0,16194410,0
09:55,3080.62,2373448,0,15174630,0,16437850,0
09:56,3080.43,1935040,0,15372250,0,16554540,0
09:57,3081.29,1895432,0,15497500,0,16122130,0
09:58,3081.07,1752512,0,15628500,0,16801490,0
09:59,3084.44,1940264,0,15958670,0,16884790,0
10:00,3084.98,2334184,0,15961110,0,16714840,0
10:01,3084.17,2091704,0,15819610,0,17227650,0
10:02,3084.36,1652280,0,16065830,0,17520130,0
10:03,3087.05,1937432,0,16318940,0,17602440,0
10:04,3087.6,2070768,0,16241630,0,17669170,0
10:05,3088.67,2011960,0,16051430,0,17600150,0
10:06,3088.84,1866392,0,15931340,0,17630390,0
10:07,3089.04,1641680,0,16240250,0,17666830,0
10:08,3087.56,1564624,0,16381220,0,17670720,0
10:09,3086.01,1510256,0,16523800,0,17742840,0
10:10,3087.19,1580320,0,16634330,0,17783250,0
10:11,3087.4,1298480,0,16906170,0,17925220,0
10:12,3088.07,1276816,0,17101590,0,17918760,0
10:13,3088.4,1308616,0,17247470,0,17919930,0
10:14,3088.44,1229488,0,17311920,0,18064580,0
10:15,3088.05,1290984,0,17188350,0,18248080,0
10:16,3088.18,1273968,0,17325760,0,18199220,0
10:17,3087.78,1153864,0,17564260,0,18305390,0
10:18,3087.75,1250744,0,17758710,0,18181230,0
10:19,3086.33,1203232,0,17518390,0,18365520,0
10:20,3085.46,1327728,0,17664780,0,18323470,0
10:21,3086.73,1181344,0,17817120,0,18374550,0
10:22,3087.55,1221952,0,17938660,0,18364920,0
10:23,3087.86,1167512,0,18114770,0,18257300,0
10:24,3089.1,1169312,0,18190420,0,18243190,0
10:25,3090.38,1217080,0,18280500,0,18244790,0
10:26,3091.74,1298304,0,18370700,0,18443820,0
10:27,3092.94,1330768,0,18364190,0,18590540,0
10:28,3093.56,1444408,0,18219860,0,18679560,0
10:29,3092.42,1199656,0,18232000,0,18767070,0
10:30,3092.69,1282280,0,18284050,0,18655060,0
10:31,3092.73,1110784,0,18311600,0,18884010,0
10:32,3092.63,1093912,0,18574810,0,18896820,0
10:33,3092.08,1041200,0,18483960,0,19152330,0
10:34,3092.42,993488,0,18686980,0,19112800,0
10:35,3094.73,1405152,0,18815160,0,19147580,0
10:36,3094.92,1224624,0,18791750,0,19124510,0
10:37,3094.52,1133408,0,18769540,0,19123020,0
10:38,3094.18,1110592,0,18818070,0,19161950,0
10:39,3095.31,1219088,0,18787700,0,19205440,0
10:40,3096.18,1379408,0,18819920,0,19067090,0
10:41,3097.14,1508352,0,18663180,0,19029610,0
10:42,3096.54,1395760,0,18564320,0,19020720,0
10:43,3097.2,1211824,0,18637990,0,19049560,0
10:44,3097.24,1169664,0,18608280,0,19012420,0
10:45,3097.74,1155616,0,18702420,0,19135100,0
10:46,3094.53,1503008,0,18264040,0,19277530,0
10:47,3092.26,1329536,0,18093590,0,19343640,0
10:48,3091.02,1261872,0,17988740,0,19315700,0
10:49,3088.99,1356080,0,17869590,0,19165340,0
10:50,3088.94,1209344,0,18071820,0,18967800,0
10:51,3090.52,1115664,0,18331270,0,18713150,0
10:52,3090.57,985568,0,18487420,0,18720080,0
10:53,3090.25,851664,0,18527870,0,18843260,0
10:54,3089.86,888368,0,18536000,0,19177030,0
10:55,3089.67,853152,0,18693990,0,19147540,0
10:56,3089.69,815472,0,18817070,0,19037860,0
10:57,3092.07,978880,0,18938750,0,19059400,0
10:58,3092.85,832720,0,19085980,0,19085030,0
10:59,3093.04,805104,0,19140090,0,19154150,0
11:00,3093.6,822768,0,19278670,0,19125380,0
11:01,3094.12,863104,0,19460610,0,18985600,0
11:02,3095.44,925984,0,19504370,0,18975250,0
11:03,3094.52,959888,0,19449620,0,18974690,0
11:04,3094.7,742768,0,19425460,0,19047400,0
11:05,3092.77,800816,0,19247300,0,19150310,0
11:06,3091.86,780032,0,19146570,0,19308980,0
11:07,3092.24,746016,0,19193060,0,19288070,0
11:08,3091.22,685648,0,19174400,0,19321450,0
11:09,3091.89,729408,0,19380300,0,19304470,0
11:10,3093.59,818576,0,19547480,0,19233970,0
11:11,3093.33,811616,0,19639990,0,19250140,0
11:12,3094.09,802544,0,19605630,0,19213460,0
11:13,3093.98,755456,0,19650820,0,19212930,0
11:14,3094.42,677600,0,19710730,0,19274620,0
11:15,3094.65,678528,0,19717420,0,19204100,0
11:16,3094.89,707040,0,19774040,0,19274660,0
11:17,3094.61,647328,0,19806040,0,19368980,0
11:18,3095.5,687504,0,19740420,0,19538940,0
11:19,3095.34,706464,0,19829400,0,19401500,0
11:20,3094.63,737168,0,19829890,0,19441420,0
11:21,3091.99,755216,0,19508940,0,19364620,0
11:22,3092.05,792112,0,19443890,0,19446890,0
11:23,3091.03,761808,0,19247550,0,19452700,0
11:24,3089.56,907280,0,18978590,0,19394300,0
11:25,3089.38,723648,0,18844660,0,19478470,0
11:26,3087.87,881664,0,18648340,0,19317380,0
11:27,3087.13,856272,0,18504620,0,19002080,0
11:28,3087.22,737504,0,18501880,0,18897110,0
11:29,3087.12,612208,0,18392240,0,18891260,0
11:30,3087.14,30304,0,18357830,0,18942990,0
13:00,3088.91,2339408,0,19081860,0,18802320,0
13:01,3088.59,623440,0,19151420,0,18824750,0
13:02,3088.44,685984,0,19213010,0,18919580,0
13:03,3088.5,644928,0,19360780,0,18951070,0
13:04,3089.18,652400,0,19595410,0,18938720,0
13:05,3088.74,741872,0,19577100,0,18889580,0
13:06,3088.45,659232,0,19559140,0,18922840,0
13:07,3088.68,732848,0,19704100,0,18922850,0
13:08,3088.66,667152,0,19728570,0,18899380,0
13:09,3088,707872,0,19816520,0,18952260,0
13:10,3085.74,860352,0,19525540,0,19176400,0
13:11,3085.36,833200,0,19490590,0,19137850,0
13:12,3084.9,727312,0,19554430,0,19142810,0
13:13,3084.62,741424,0,19686790,0,19142500,0
13:14,3083.32,921936,0,19519660,0,19223460,0
13:15,3083.16,815296,0,19552180,0,19209800,0
13:16,3083.76,738384,0,19699510,0,19155580,0
