Time,Price,Volume,SP1,SV1,BP1,BV1,isBuy
09:15,5.41,0,5.41,481,5.41,481,1
09:16,5.41,0,5.41,379,5.41,379,1
09:17,5.41,0,5.41,382,5.41,382,1
09:18,5.41,0,5.41,382,5.41,382,1
09:19,5.41,0,5.41,382,5.41,382,1
09:20,5.41,0,5.41,392,5.41,392,1
09:21,5.41,0,5.41,392,5.41,392,1
09:22,5.41,0,5.41,402,5.41,402,1
09:23,5.43,0,5.43,514,5.43,514,1
09:24,5.43,0,5.43,1028,5.43,1028,1
09:25,5.43,1038,5.44,10,5.43,316,1
09:26,5.43,1038,5.44,10,5.43,316,1
09:27,5.43,1038,5.44,10,5.43,316,1
09:28,5.43,1038,5.44,10,5.43,316,1
09:29,5.43,1038,5.44,10,5.43,316,1
09:30,5.42,3521,5.42,418,5.41,215,1
09:31,5.41,2057,5.41,594,5.4,1205,1
09:32,5.42,1726,5.43,501,5.41,41,1
09:33,5.42,1038,5.43,498,5.42,469,0
09:34,5.45,2656,5.45,728,5.43,644,1
09:35,5.43,3319,5.44,117,5.43,126,0
09:36,5.42,1081,5.43,799,5.42,686,0
09:37,5.43,756,5.43,725,5.42,569,1
09:38,5.42,724,5.43,715,5.42,475,0
09:39,5.42,576,5.43,581,5.42,457,0
09:40,5.4,1918,5.4,193,5.39,631,0
09:41,5.4,1896,5.41,408,5.4,13,0
09:42,5.4,401,5.4,617,5.39,398,1
09:43,5.38,669,5.39,27,5.38,894,0
09:44,5.39,440,5.4,289,5.39,108,0
09:45,5.39,530,5.4,23,5.39,458,0
09:46,5.4,372,5.4,70,5.39,532,1
09:47,5.41,243,5.41,451,5.4,520,1
09:48,5.4,341,5.41,304,5.4,463,0
09:49,5.41,223,5.41,290,5.4,461,1
09:50,5.4,463,5.41,163,5.4,291,0
09:51,5.4,556,5.4,702,5.39,506,1
09:52,5.4,1071,5.4,17,5.39,217,0
09:53,5.41,1122,5.42,511,5.41,188,1
09:54,5.43,681,5.43,680,5.42,644,1
09:55,5.42,997,5.42,74,5.41,823,0
09:56,5.42,376,5.42,146,5.41,807,1
09:57,5.42,427,5.42,19,5.41,829,1
09:58,5.43,398,5.43,2196,5.42,87,1
09:59,5.43,296,5.43,2006,5.42,855,1
10:00,5.44,2798,5.44,1025,5.43,599,1
10:01,5.44,445,5.44,1105,5.43,337,1
10:02,5.43,535,5.43,490,5.42,833,1
10:03,5.43,1273,5.43,155,5.42,171,1
10:04,5.42,720,5.43,194,5.42,805,0
10:05,5.43,322,5.44,1304,5.43,211,1
10:06,5.43,217,5.44,1434,5.43,329,0
10:07,5.44,787,5.44,1237,5.43,24,1
10:08,5.42,570,5.43,1426,5.42,620,0
10:09,5.42,721,5.42,111,5.41,313,1
10:10,5.42,391,5.43,1364,5.42,57,1
10:11,5.42,405,5.42,59,5.41,227,1
10:12,5.42,265,5.42,418,5.41,418,1
10:13,5.42,302,5.42,302,5.41,462,1
10:14,5.41,336,5.42,246,5.41,253,0
10:15,5.42,218,5.42,304,5.41,238,1
10:16,5.41,577,5.41,214,5.4,809,1
10:17,5.41,113,5.41,318,5.4,943,1
10:18,5.41,24,5.41,365,5.4,1082,1
10:19,5.4,162,5.41,384,5.4,866,0
10:20,5.41,434,5.41,79,5.4,592,1
10:21,5.41,177,5.41,29,5.4,512,1
10:22,5.42,102,5.42,451,5.41,181,1
10:23,5.41,131,5.42,737,5.41,666,0
10:24,5.41,178,5.42,980,5.41,621,0
10:25,5.41,110,5.42,928,5.41,596,0
10:26,5.43,1034,5.43,1093,5.42,182,1
10:27,5.45,3197,5.45,3388,5.44,74,1
10:28,5.43,492,5.44,1479,5.43,1160,0
10:29,5.43,177,5.44,1369,5.43,1099,0
10:30,5.42,1284,5.43,64,5.42,122,0
10:31,5.43,173,5.43,13,5.42,74,0
10:32,5.43,61,5.44,1870,5.43,49,0
10:33,5.44,215,5.44,1755,5.43,24,1
10:34,5.44,216,5.44,1646,5.43,156,1
10:35,5.44,504,5.44,1264,5.43,411,1
10:36,5.44,98,5.44,1273,5.43,593,1
10:37,5.44,46,5.44,1157,5.43,648,1
10:38,5.43,2777,5.43,5,5.42,84,1
10:39,5.43,337,5.43,649,5.42,82,1
10:40,5.43,189,5.43,615,5.42,366,1
10:41,5.43,434,5.43,318,5.42,540,1
10:42,5.43,568,5.44,1109,5.43,197,0
10:43,5.43,148,5.44,1116,5.43,124,0
10:44,5.43,482,5.44,1183,5.43,170,0
10:45,5.43,165,5.44,1073,5.43,220,0
10:46,5.42,885,5.43,181,5.42,554,0
10:47,5.42,155,5.43,535,5.42,435,0
10:48,5.42,69,5.43,558,5.42,912,0
10:49,5.42,100,5.43,604,5.42,885,0
10:50,5.42,153,5.43,456,5.42,844,0
10:51,5.43,351,5.43,691,5.42,938,1
10:52,5.42,203,5.43,728,5.42,899,0
10:53,5.41,2683,5.41,4805,5.4,1183,1
10:54,5.4,208,5.41,4770,5.4,1169,0
10:55,5.41,1022,5.41,4758,5.4,117,1
10:56,5.41,560,5.41,4723,5.4,859,1
10:57,5.41,1128,5.41,4644,5.4,208,1
10:58,5.4,1389,5.4,463,5.39,1612,1
10:59,5.41,1091,5.41,4005,5.4,751,1
11:00,5.41,23,5.41,3987,5.4,1257,1
11:01,5.42,4043,5.43,1037,5.42,9,0
11:02,5.43,414,5.43,1003,5.42,159,1
11:03,5.43,153,5.43,957,5.42,125,1
11:04,5.42,44,5.43,1280,5.42,153,0
11:05,5.42,134,5.43,1219,5.42,98,0
11:06,5.43,122,5.43,1295,5.41,201,1
11:07,5.42,109,5.42,52,5.41,256,1
11:08,5.41,47,5.42,88,5.41,227,0
11:09,5.42,267,5.43,1282,5.42,1,1
11:10,5.43,80,5.43,1216,5.42,68,1
11:11,5.42,105,5.42,93,5.41,343,1
11:12,5.42,176,5.42,113,5.41,360,1
11:13,5.42,304,5.42,24,5.41,640,1
11:14,5.41,2,5.42,71,5.41,638,0
11:15,5.41,226,5.42,217,5.41,514,0
11:16,5.42,49,5.42,250,5.41,632,1
11:17,5.42,333,5.43,1356,5.42,82,1
11:18,5.43,213,5.43,1305,5.42,195,1
11:19,5.42,365,5.43,1034,5.42,83,0
11:20,5.42,219,5.43,878,5.42,159,0
11:21,5.43,221,5.43,840,5.42,209,1
11:22,5.42,110,5.43,798,5.42,462,0
11:23,5.42,119,5.43,753,5.42,407,0
11:24,5.42,203,5.43,721,5.42,281,0
11:25,5.43,79,5.43,917,5.42,140,1
11:26,5.42,673,5.42,48,5.41,231,0
11:27,5.4,351,5.41,419,5.4,1269,0
11:28,5.4,76,5.41,684,5.4,1512,0
11:29,5.4,263,5.41,504,5.4,1092,0
11:30,5.4,5,5.41,507,5.4,1087,0
13:00,5.41,1565,5.41,170,5.4,517,1
13:01,5.4,183,5.41,150,5.4,665,0
13:02,5.4,139,5.41,63,5.4,892,0
13:03,5.41,241,5.41,23,5.4,925,1
13:04,5.41,80,5.42,286,5.41,128,0
13:05,5.42,263,5.43,1193,5.41,70,1
13:06,5.41,122,5.41,618,5.4,801,0
13:07,5.41,4,5.41,618,5.4,875,1
13:08,5.41,117,5.41,513,5.4,968,1
13:09,5.4,548,5.41,76,5.4,440,0
13:10,5.4,42,5.41,80,5.4,593,0
13:11,5.4,49,5.41,55,5.4,610,0
13:12,5.4,51,5.41,129,5.4,656,0
13:13,5.4,105,5.41,165,5.4,551,0
13:14,5.4,71,5.41,170,5.4,471,0
13:15,5.4,192,5.41,180,5.4,301,0
13:16,5.4,30,5.41,220,5.4,299,0
13:17,5.41,77,5.41,211,5.4,261,1
13:18,5.4,404,5.41,206,5.4,80,0
13:19,5.4,609,5.4,576,5.39,1034,1
13:20,5.39,103,5.4,543,5.39,1611,0
13:21,5.39,656,5.4,94,5.39,994,0
13:22,5.39,153,5.4,108,5.39,904,0
13:23,5.4,87,5.4,27,5.39,997,1
13:24,5.4,104,5.41,385,5.4,126,0
13:25,5.4,692,5.41,349,5.4,101,0
13:26,5.4,139,5.41,250,5.4,83,0
13:27,5.4,499,5.4,252,5.39,1099,1
13:28,5.39,151,5.4,203,5.39,1149,0
13:29,5.39,345,5.4,240,5.39,821,0
13:30,5.39,55,5.4,273,5.39,828,0
13:31,5.4,327,5.4,288,5.39,514,1
13:32,5.39,40,5.4,307,5.39,602,0
13:33,5.38,639,5.39,1977,5.38,1516,0
13:34,5.38,136,5.39,1921,5.38,1490,0
13:35,5.37,3060,5.38,356,5.37,230,0
13:36,5.37,2612,5.39,54,5.37,1226,1
13:37,5.38,105,5.39,103,5.38,284,0
13:38,5.39,37,5.39,93,5.38,1050,1
13:39,5.38,262,5.39,24,5.38,1028,0
13:40,5.39,273,5.4,898,5.39,51,0
13:41,5.38,129,5.39,592,5.38,578,0
13:42,5.38,1039,5.38,1409,5.37,1632,1
13:43,5.38,1039,5.38,447,5.37,1382,1
13:44,5.37,236,5.38,380,5.37,1140,0
13:45,5.38,402,5.38,259,5.37,1578,1
13:46,5.39,370,5.39,525,5.38,100,1
13:47,5.39,109,5.39,481,5.38,284,1
13:48,5.39,160,5.39,457,5.38,606,1
13:49,5.39,40,5.39,483,5.38,801,1
13:50,5.38,217,5.39,403,5.38,797,0
13:51,5.39,34,5.39,417,5.38,868,1
13:52,5.39,109,5.39,321,5.38,1502,1
13:53,5.39,13,5.39,238,5.38,1529,1
13:54,5.39,305,5.4,1491,5.39,3,0
13:55,5.39,284,5.39,3,5.38,2338,1
13:56,5.38,4084,5.38,41,5.37,1540,1
13:57,5.38,88,5.39,227,5.38,239,0
13:58,5.39,187,5.39,212,5.38,413,1
13:59,5.39,141,5.39,899,5.38,429,1
14:00,5.39,65,5.39,882,5.38,637,1
14:01,5.38,149,5.39,818,5.38,972,0
14:02,5.38,50,5.39,939,5.38,974,0
14:03,5.39,61,5.39,1272,5.38,1007,1
14:04,5.38,79,5.39,1259,5.38,1236,0
14:05,5.39,45,5.39,1446,5.38,1344,1
14:06,5.38,387,5.39,1389,5.38,1443,0
14:07,5.38,39,5.39,1414,5.38,1348,0
14:08,5.38,192,5.39,1387,5.38,1317,0
14:09,5.39,61,5.39,1338,5.38,1607,1
14:10,5.39,392,5.39,972,5.38,1414,1
14:11,5.39,88,5.39,1284,5.38,1408,1
14:12,5.38,195,5.39,1113,5.38,1436,0
14:13,5.39,653,5.39,811,5.38,1314,1
14:14,5.38,93,5.39,770,5.38,1384,0
14:15,5.38,249,5.39,692,5.38,1314,0
14:16,5.39,94,5.39,618,5.38,1411,1
14:17,5.39,74,5.39,691,5.38,1427,1
14:18,5.39,52,5.39,655,5.38,1414,1
14:19,5.38,32,5.39,638,5.38,1407,0
14:20,5.38,48,5.39,614,5.38,1422,0
14:21,5.39,132,5.39,527,5.38,1384,1
14:22,5.39,59,5.39,489,5.38,1376,1
14:23,5.39,672,5.39,90,5.38,1187,1
14:24,5.39,472,5.39,164,5.38,1164,1
14:25,5.39,412,5.4,1944,5.39,176,0
14:26,5.39,113,5.4,2102,5.38,1220,0
14:27,5.37,1318,5.38,0,5.37,1841,0
14:28,5.39,146,5.39,894,5.38,62,1
14:29,5.38,51,5.39,1518,5.38,477,0
14:30,5.39,280,5.39,1901,5.38,978,1
14:31,5.39,22,5.39,1367,5.38,1116,1
14:32,5.38,99,5.39,1289,5.38,1075,0
14:33,5.39,1288,5.4,2405,5.39,6,1
14:34,5.39,444,5.4,2341,5.38,1310,1
14:35,5.39,130,5.4,2572,5.38,1381,1
14:36,5.4,170,5.4,3319,5.38,1411,1
14:37,5.4,399,5.4,3032,5.38,1418,1
14:38,5.39,168,5.39,32,5.38,2417,1
14:39,5.4,268,5.4,2410,5.39,1447,1
14:40,5.4,479,5.4,2381,5.39,468,1
14:41,5.4,489,5.4,2237,5.39,1088,1
14:42,5.39,93,5.4,2138,5.39,1428,0
14:43,5.39,480,5.4,2086,5.39,1196,0
14:44,5.38,1578,5.39,1565,5.38,2470,0
14:45,5.39,269,5.39,2094,5.38,2732,1
14:46,5.39,236,5.39,1338,5.38,2616,1
14:47,5.38,238,5.39,1891,5.38,2508,0
14:48,5.38,346,5.39,1325,5.38,2258,0
14:49,5.38,591,5.39,1395,5.38,1934,0
14:50,5.38,1858,5.39,1889,5.38,350,0
14:51,5.39,341,5.39,1910,5.38,1927,1
14:52,5.38,198,5.39,1936,5.38,2178,0
14:53,5.39,910,5.39,1746,5.38,2230,1
14:54,5.38,763,5.39,1223,5.38,2185,0
14:55,5.4,1557,5.4,3690,5.39,878,1
14:56,5.39,2787,5.4,1372,5.39,680,0
14:57,5.39,0,5.4,383,5.4,383,0
14:58,5.39,0,5.4,927,5.4,927,0
14:59,5.39,0,5.4,1098,5.4,1098,0
