Time,Price,Volume,Amount,SP1,SP2,SP3,SP4,SP5,SV1,SV2,SV3,SV4,SV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5,isBuy
2007-01-15 9:16:0,0,0,0,15.52,0,0,0,0,467,2,0,0,0,15.52,0,0,0,0,467,0,0,0,0,0
2007-01-15 9:16:10,0,0,0,15.52,0,0,0,0,477,7,0,0,0,15.52,0,0,0,0,477,0,0,0,0,0
2007-01-15 9:16:29,0,0,0,15.52,0,0,0,0,477,10,0,0,0,15.52,0,0,0,0,477,0,0,0,0,0
2007-01-15 9:16:50,0,0,0,15.52,0,0,0,0,487,0,0,0,0,15.52,0,0,0,0,487,12,0,0,0,0
2007-01-15 9:17:10,0,0,0,15.52,0,0,0,0,491,0,0,0,0,15.52,0,0,0,0,491,8,0,0,0,0
2007-01-15 9:17:20,0,0,0,15.52,0,0,0,0,491,0,0,0,0,15.52,0,0,0,0,491,39,0,0,0,0
2007-01-15 9:17:29,0,0,0,15.52,0,0,0,0,530,201,0,0,0,15.52,0,0,0,0,530,0,0,0,0,0
2007-01-15 9:17:50,0,0,0,15.52,0,0,0,0,530,217,0,0,0,15.52,0,0,0,0,530,0,0,0,0,0
2007-01-15 9:17:59,0,0,0,15.5,0,0,0,0,478,21,0,0,0,15.5,0,0,0,0,478,0,0,0,0,0
2007-01-15 9:18:9,0,0,0,15.5,0,0,0,0,463,37,0,0,0,15.5,0,0,0,0,463,0,0,0,0,0
2007-01-15 9:18:19,0,0,0,15.5,0,0,0,0,463,40,0,0,0,15.5,0,0,0,0,463,0,0,0,0,0
2007-01-15 9:18:30,0,0,0,15.5,0,0,0,0,463,50,0,0,0,15.5,0,0,0,0,463,0,0,0,0,0
2007-01-15 9:18:50,0,0,0,15.5,0,0,0,0,464,62,0,0,0,15.5,0,0,0,0,464,0,0,0,0,0
2007-01-15 9:19:0,0,0,0,15.5,0,0,0,0,464,87,0,0,0,15.5,0,0,0,0,464,0,0,0,0,0
2007-01-15 9:19:10,0,0,0,15.5,0,0,0,0,464,122,0,0,0,15.5,0,0,0,0,464,0,0,0,0,0
2007-01-15 9:19:21,0,0,0,15.5,0,0,0,0,511,97,0,0,0,15.5,0,0,0,0,511,0,0,0,0,0
2007-01-15 9:19:29,0,0,0,15.5,0,0,0,0,518,180,0,0,0,15.5,0,0,0,0,518,0,0,0,0,0
2007-01-15 9:19:40,0,0,0,15.5,0,0,0,0,583,377,0,0,0,15.5,0,0,0,0,583,0,0,0,0,0
2007-01-15 9:19:50,0,0,0,15.5,0,0,0,0,573,430,0,0,0,15.5,0,0,0,0,573,0,0,0,0,0
2007-01-15 9:20:0,0,0,0,15.5,0,0,0,0,578,446,0,0,0,15.5,0,0,0,0,578,0,0,0,0,0
2007-01-15 9:20:9,0,0,0,15.49,0,0,0,0,578,4,0,0,0,15.49,0,0,0,0,578,0,0,0,0,0
2007-01-15 9:20:20,0,0,0,15.5,0,0,0,0,652,1309,0,0,0,15.5,0,0,0,0,652,0,0,0,0,0
2007-01-15 9:20:29,0,0,0,15.5,0,0,0,0,829,1132,0,0,0,15.5,0,0,0,0,829,0,0,0,0,0
2007-01-15 9:20:39,0,0,0,15.5,0,0,0,0,829,1150,0,0,0,15.5,0,0,0,0,829,0,0,0,0,0
2007-01-15 9:20:49,0,0,0,15.5,0,0,0,0,829,1210,0,0,0,15.5,0,0,0,0,829,0,0,0,0,0
2007-01-15 9:21:1,0,0,0,15.5,0,0,0,0,862,1204,0,0,0,15.5,0,0,0,0,862,0,0,0,0,0
2007-01-15 9:21:9,0,0,0,15.5,0,0,0,0,1202,940,0,0,0,15.5,0,0,0,0,1202,0,0,0,0,0
2007-01-15 9:21:20,0,0,0,15.5,0,0,0,0,1212,958,0,0,0,15.5,0,0,0,0,1212,0,0,0,0,0
2007-01-15 9:21:29,0,0,0,15.5,0,0,0,0,1217,985,0,0,0,15.5,0,0,0,0,1217,0,0,0,0,0
2007-01-15 9:21:39,0,0,0,15.5,0,0,0,0,1251,1038,0,0,0,15.5,0,0,0,0,1251,0,0,0,0,0
2007-01-15 9:21:49,0,0,0,15.5,0,0,0,0,1282,1343,0,0,0,15.5,0,0,0,0,1282,0,0,0,0,0
2007-01-15 9:22:2,0,0,0,15.5,0,0,0,0,1329,1516,0,0,0,15.5,0,0,0,0,1329,0,0,0,0,0
2007-01-15 9:22:10,0,0,0,15.5,0,0,0,0,2289,1064,0,0,0,15.5,0,0,0,0,2289,0,0,0,0,0
2007-01-15 9:22:20,0,0,0,15.5,0,0,0,0,2326,1076,0,0,0,15.5,0,0,0,0,2326,0,0,0,0,0
2007-01-15 9:22:29,0,0,0,15.5,0,0,0,0,2355,1114,0,0,0,15.5,0,0,0,0,2355,0,0,0,0,0
2007-01-15 9:22:40,0,0,0,15.5,0,0,0,0,2355,1139,0,0,0,15.5,0,0,0,0,2355,0,0,0,0,0
2007-01-15 9:22:49,0,0,0,15.5,0,0,0,0,2360,1192,0,0,0,15.5,0,0,0,0,2360,0,0,0,0,0
2007-01-15 9:22:59,0,0,0,15.5,0,0,0,0,2474,1126,0,0,0,15.5,0,0,0,0,2474,0,0,0,0,0
2007-01-15 9:23:10,0,0,0,15.5,0,0,0,0,2485,1217,0,0,0,15.5,0,0,0,0,2485,0,0,0,0,0
2007-01-15 9:23:20,0,0,0,15.5,0,0,0,0,2675,1102,0,0,0,15.5,0,0,0,0,2675,0,0,0,0,0
2007-01-15 9:23:30,0,0,0,15.5,0,0,0,0,2676,1330,0,0,0,15.5,0,0,0,0,2676,0,0,0,0,0
2007-01-15 9:23:39,0,0,0,15.5,0,0,0,0,2676,1882,0,0,0,15.5,0,0,0,0,2676,0,0,0,0,0
2007-01-15 9:23:50,0,0,0,15.5,0,0,0,0,2779,1835,0,0,0,15.5,0,0,0,0,2779,0,0,0,0,0
2007-01-15 9:23:59,0,0,0,15.5,0,0,0,0,2814,2180,0,0,0,15.5,0,0,0,0,2814,0,0,0,0,0
2007-01-15 9:24:10,0,0,0,15.5,0,0,0,0,3614,1464,0,0,0,15.5,0,0,0,0,3614,0,0,0,0,0
2007-01-15 9:24:20,0,0,0,15.5,0,0,0,0,3675,1656,0,0,0,15.5,0,0,0,0,3675,0,0,0,0,0
2007-01-15 9:24:29,0,0,0,15.5,0,0,0,0,4205,1694,0,0,0,15.5,0,0,0,0,4205,0,0,0,0,0
2007-01-15 9:24:39,0,0,0,15.5,0,0,0,0,4225,2184,0,0,0,15.5,0,0,0,0,4225,0,0,0,0,0
2007-01-15 9:24:50,0,0,0,15.49,0,0,0,0,4225,214,0,0,0,15.49,0,0,0,0,4225,0,0,0,0,0
2007-01-15 9:24:59,0,0,0,15.49,0,0,0,0,4225,1389,0,0,0,15.49,0,0,0,0,4225,0,0,0,0,0
2007-01-15 9:25:9,0,0,0,15.49,0,0,0,0,4461,1508,0,0,0,15.49,0,0,0,0,4461,0,0,0,0,0
2007-01-15 9:25:22,15.5,8472,13131150,15.51,15.52,15.53,15.54,15.55,1,322,33,30,74,15.5,15.41,15.4,15.38,15.37,6425,40,10,4,500,0
2007-01-15 9:25:26,15.5,0,0,15.51,15.52,15.53,15.54,15.55,1,322,33,30,74,15.5,15.41,15.4,15.38,15.37,990,40,10,4,500,0
2007-01-15 9:30:21,15.5,6557,10164640,15.5,15.51,15.53,15.54,15.55,1447,38,98,40,362,15.45,15.42,15.41,15.4,15.38,4748,12,40,71,295,1
2007-01-15 9:30:25,15.5,5,7750,15.5,15.51,15.53,15.54,15.55,1442,38,98,40,362,15.45,15.42,15.41,15.4,15.38,4748,12,40,71,295,1
2007-01-15 9:30:30,15.5,4,6200,15.5,15.51,15.53,15.54,15.55,2423,38,98,40,362,15.45,15.42,15.41,15.4,15.38,4748,12,40,71,295,1
2007-01-15 9:30:34,15.45,50,77250,15.5,15.51,15.53,15.54,15.55,2423,58,103,40,362,15.45,15.42,15.41,15.4,15.38,4698,12,40,71,295,0
