Time,Price,Volume,Amount,SP1,SP2,SP3,SV1,SV2,SV3,BP1,BP2,BP3,BV1,BV2,BV3,isBuy
2020/1/2 9:15,35.52,0,0,35.52,0,0,5,0,0,35.52,0,0,5,2,0,1
2020/1/2 9:15,35.52,0,0,35.52,0,0,7,8,0,35.52,0,0,7,0,0,1
2020/1/2 9:16,35.52,0,0,35.52,0,0,5,0,0,35.52,0,0,5,2,0,1
2020/1/2 9:16,35.52,0,0,35.52,0,0,6,0,0,35.52,0,0,6,1,0,1
2020/1/2 9:17,35.51,0,0,35.51,0,0,7,86,0,35.51,0,0,7,0,0,0
2020/1/2 9:18,35.5,0,0,35.5,0,0,7,4,0,35.5,0,0,7,0,0,0
2020/1/2 9:18,35.5,0,0,35.5,0,0,7,4,0,35.5,0,0,7,0,0,1
2020/1/2 9:18,35.5,0,0,35.5,0,0,7,9,0,35.5,0,0,7,0,0,1
2020/1/2 9:18,35.45,0,0,35.45,0,0,7,0,0,35.45,0,0,7,0,0,0
2020/1/2 9:19,35.4,0,0,35.4,0,0,7,19,0,35.4,0,0,7,0,0,0
2020/1/2 9:19,35.4,0,0,35.4,0,0,7,20,0,35.4,0,0,7,0,0,1
2020/1/2 9:19,35.35,0,0,35.35,0,0,7,2,0,35.35,0,0,7,0,0,0
2020/1/2 9:21,35.1,0,0,35.1,0,0,7,3,0,35.1,0,0,7,0,0,0
2020/1/2 9:23,35.06,0,0,35.06,0,0,7,0,0,35.06,0,0,7,0,0,0
2020/1/2 9:23,35.06,0,0,35.06,0,0,7,5,0,35.06,0,0,7,0,0,1
2020/1/2 9:23,34.91,0,0,34.91,0,0,9,0,0,34.91,0,0,9,0,0,0
2020/1/2 9:24,35.01,0,0,35.01,0,0,9,0,0,35.01,0,0,9,0,0,1
2020/1/2 9:24,35.02,0,0,35.02,0,0,9,0,0,35.02,0,0,9,0,0,1
2020/1/2 9:24,35.01,0,0,35.01,0,0,11,2,0,35.01,0,0,11,0,0,0
2020/1/2 9:24,35,0,0,35,0,0,13,0,0,35,0,0,13,0,0,0
2020/1/2 9:25,34.91,0,0,34.91,0,0,13,3,0,34.91,0,0,13,0,0,0
2020/1/2 9:25,34.91,13,45383,34.91,34.98,34.99,3,3,9,34.61,34.52,34.51,3,3,4,1
2020/1/2 9:25,34.91,0,0,34.91,34.98,34.99,3,3,9,34.61,34.52,34.51,3,3,4,1
2020/1/2 9:30,34.91,0,0,34.91,34.97,34.98,3,1,3,34.61,34.52,34.51,3,3,4,1
2020/1/2 9:30,34.91,0,0,34.91,34.97,34.98,3,1,3,34.61,34.52,34.51,3,3,4,1
2020/1/2 9:30,34.91,2,6982,34.9,34.91,34.97,1,4,8,34.66,34.65,34.63,10,3,3,1
2020/1/2 9:30,34.92,9,31422,34.97,34.98,34.99,8,3,9,34.92,34.86,34.84,1,15,143,1
2020/1/2 9:30,34.86,5,17436,34.97,34.98,34.99,8,3,9,34.9,34.86,34.84,1,11,143,0
2020/1/2 9:30,34.86,0,0,34.97,34.98,34.99,8,3,9,34.9,34.86,34.84,1,11,143,0
2020/1/2 9:30,34.91,22,76756,34.92,34.97,34.98,4,8,3,34.86,34.84,34.7,2,143,6,1
2020/1/2 9:30,34.91,0,0,34.92,34.97,34.98,4,8,3,34.86,34.84,34.7,2,143,6,0
2020/1/2 9:30,34.91,0,0,34.92,34.97,34.98,4,8,3,34.86,34.84,34.7,2,143,6,0
2020/1/2 9:30,34.92,2,6984,34.92,34.97,34.98,9,8,3,34.86,34.84,34.7,2,143,6,1
2020/1/2 9:30,34.9,2,6980,34.92,34.97,34.98,9,8,3,34.9,34.86,34.84,2,2,143,0
2020/1/2 9:30,34.9,0,0,34.92,34.97,34.98,9,8,3,34.9,34.87,34.86,2,10,2,0
2020/1/2 9:30,34.9,0,0,34.92,34.97,34.98,9,8,3,34.9,34.87,34.86,4,10,2,0
2020/1/2 9:30,34.9,1,3490,34.92,34.97,34.98,9,11,3,34.9,34.87,34.86,3,10,2,0
2020/1/2 9:30,34.9,4,13962,34.9,34.92,34.97,1,8,11,34.87,34.86,34.84,10,2,143,0
2020/1/2 9:30,34.92,9,31426,34.97,34.98,34.99,11,3,9,34.96,34.87,34.86,11,10,12,1
2020/1/2 9:30,34.92,0,0,34.97,34.98,35,11,3,2,34.96,34.87,34.86,11,10,12,0
2020/1/2 9:30,34.96,3,10488,34.97,35,35.01,13,2,5,34.96,34.92,34.87,8,1,10,1
2020/1/2 9:30,34.96,8,27968,34.96,34.97,35,227,13,2,34.92,34.87,34.86,1,10,12,0
2020/1/2 9:30,34.96,0,0,34.95,34.96,34.97,9,227,13,34.92,34.87,34.86,1,10,13,1
2020/1/2 9:30,34.96,29,101363,34.96,34.97,35,210,13,2,34.87,34.86,34.84,10,13,143,1
2020/1/2 9:30,34.87,8,27896,34.96,34.97,35,210,13,2,34.88,34.87,34.86,5,2,13,0
2020/1/2 9:31,34.94,4,13969,34.94,34.96,34.97,6,210,13,34.88,34.87,34.86,4,2,13,1
2020/1/2 9:31,34.88,2,6976,34.94,34.96,34.97,6,210,13,34.91,34.88,34.87,10,2,2,0
2020/1/2 9:31,34.94,2,6985,34.94,34.96,34.97,5,210,13,34.91,34.88,34.87,9,2,2,1
2020/1/2 9:31,34.91,2,6985,34.94,34.96,34.97,4,210,13,34.91,34.88,34.87,8,3,2,0
2020/1/2 9:31,34.91,1,3491,34.94,34.96,34.97,4,210,12,34.91,34.88,34.87,7,3,2,0
2020/1/2 9:31,34.94,4,13976,34.96,34.97,35,210,12,2,34.94,34.92,34.91,53,6,7,1
2020/1/2 9:31,34.94,16,55904,34.97,35,35.07,12,2,1,34.94,34.92,34.91,37,6,7,0
2020/1/2 9:31,34.94,1,3494,34.97,35,35.07,12,2,1,34.94,34.92,34.91,36,6,7,0
2020/1/2 9:31,34.97,10,34970,35,35.07,35.1,2,1,3,34.97,34.96,34.94,5,4,38,1
2020/1/2 9:31,34.97,5,17487,34.99,35,35.07,17,2,1,34.97,34.96,34.94,2,4,38,0
2020/1/2 9:31,34.96,6,20978,34.96,34.99,35.07,9,17,1,34.94,34.91,34.89,38,7,5,0
2020/1/2 9:31,34.99,10,34963,34.99,35.07,35.1,16,1,3,34.98,34.94,34.91,5,38,7,1
2020/1/2 9:32,34.99,14,48986,34.99,35.07,35.12,2,1,5,34.98,34.94,34.91,5,38,7,1
2020/1/2 9:32,34.98,1,3498,34.99,35.07,35.12,2,1,5,34.98,34.94,34.91,4,36,7,0
2020/1/2 9:32,34.99,2,6998,35.07,35.12,35.28,1,5,0,34.99,34.98,34.94,2,4,36,1
2020/1/2 9:32,34.98,11,38485,34.98,35.07,35.12,59,1,5,34.91,34.89,34.88,7,5,3,0
2020/1/2 9:32,34.98,5,17490,34.98,34.99,35.07,54,7,1,34.91,34.89,34.88,7,5,3,1
2020/1/2 9:32,34.98,38,132924,34.98,34.99,35.07,16,7,1,34.91,34.89,34.88,8,5,3,1
2020/1/2 9:33,34.98,10,34980,34.99,35.07,35.1,7,1,3,34.98,34.94,34.92,106,144,6,1
2020/1/2 9:33,34.98,64,223872,34.99,35.07,35.1,7,1,3,34.98,34.94,34.92,47,143,6,0
2020/1/2 9:33,34.99,7,24493,35.07,35.1,35.11,1,3,15,34.99,34.98,34.95,1,45,7,1
2020/1/2 9:33,35.06,3,10518,35.06,35.07,35.1,4,3,33,35,34.99,34.98,10,39,44,1
2020/1/2 9:34,35,10,35000,35,35.06,35.07,78,4,7,34.99,34.98,34.95,39,44,7,0
